10000;AVIA Station;AVIA;Zeiler Straße;8;97437;Haßfurt;50.031033;10.518143
10001;Schweinfurt;Edeka C + C;Sven-Wingquist-Str.;1-5;97424;Schweinfurt;50.030983;10.231569
10002;Esso Tankstelle;ESSO;HAUPTSTR. 7; ;63128;DIETZENBACH;50.03023067;8.787150212
10003;Globus Handelshof GmbH & Co. KG Betriebsstätte Zell;"";Fliehburgstr.;18;56856;Zell;50.02864;7.15655
10004;Christa Kartmann;AVIA;Karlstadter Str.;8;97737;Gemünden-Wernfeld;50.028;9.73093
10005;CLASSIC Flörsheim-Wicker;CLASSIC;Kirschgartenstr.;21;65439;Flörsheim;50.0276;8.40591
10006;Aral Tankstelle;ARAL;Rheinallee;207;55120;Mainz;50.027153;8.222996
10007;Calpam Tankstelle;Calpam;Zellhaeuser Str;23;63533;Mainhausen;50.026908874512;9.023645401001
10008;Supermarkt-Tankstelle am real,- Markt MAINZ RHEINALLEE 120;Supermarkt-Tankstelle am real,- Markt;RHEINALLEE 120;;55120;MAINZ;50.0261;8.23
10009;Aral Tankstelle;ARAL;Würzburger Straße;44;97424;Schweinfurt;50.0244446;10.1961021
10010;Schweinfurt Würzburger Strasse 45;OMV;Würzburger Str.;45;97424;Schweinfurt;50.02438;10.19651
10011;Mainz, Rheinallee 187;HEM;Rheinallee;187;55120;Mainz;50.024284;8.232127
10012;star Tankstelle;STAR;Wiesbadener Straße;89 - 91;55252;Mainz-Kastel;50.02416;8.26782
10013;Aral Tankstelle;ARAL;Erbacher Straße;2;65343;Eltville;50.0241356;8.116059
10014;DREIEICH, OFFENBACHER STR. 69;Shell;OFFENBACHER STR. 69;"";63303;Dreieich;50.023067;8.699109
10015;BayWa Tankstelle Gochsheim;BayWa;Am Triebweg;4;97469;Gochsheim;50.02207;10.27169
10016;GOCHSHEIM, SCHWEINFURTER STR.;Shell;SCHWEINFURTER STR. 85;"";97469;Gochsheim;50.021967;10.274528
10017;Esso Tankstelle;ESSO;INDUSTRIESTR. 8; ;95349;THURNAU;50.02178;11.408013
10018;Aral Tankstelle;ARAL;Straßburgstraße;1;97424;Schweinfurt;50.021656;10.2166176
10019;Supermarkt-Tankstelle MAINZ KASTEL BOELCKESTR. 78;Supermarkt-Tankstelle;BOELCKESTR. 78;;55252;MAINZ KASTEL;50.0206;8.28998
10020;Leu Energie;Leu Energie;Straßburgstraße;9;97424;Schweinfurt;50.0206;10.215
10021;bft-Tankstelle, Förster Mainz;"";Kreuzstr. ;63;55120;Mainz;50.02013;8.22041
10022;AVIA Tankstelle;AVIA;Berndorfer Straße;24;95349;Thurnau;50.019936;11.386201
10023;Esso Tankstelle;ESSO;BINGER STR. 74; ;55257;BUDENHEIM;50.019253;8.169311
10024;Tankcenter DREIEICH;Tankcenter;EISENBAHNSTR.;210;63303;DREIEICH;50.019062;8.672722
10025;Freie Tankstelle;Freie Tankstelle;Wiesbadener Strasse;68;55252;Mainz-Kastel;50.018274;8.2874379
10026;MAINZ, BÖLCKESTR. 58;Shell;BÖLCKESTR. 58;"";55252;Mainz;50.017742;8.286628
10027;Esso Tankstelle;ESSO;RHEINALLEE 90 A; ;55120;MAINZ;50.017333;8.251712
10028;Aral Tankstelle;ARAL;Brandenburg;4;56856;Zell;50.0170479;7.180465
